b1	r1
0.328	0.026
0.328	0.026
0.328	0.026
0.328	0.026
0.328	0.026
0.328	0.026
0.328	0.026
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.336	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.323	0.025
0.331	0.025
0.331	0.025
0.324	0.025
0.331	0.024
0.331	0.024
0.331	0.024
0.331	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.341	0.024
0.341	0.024
0.341	0.024
0.341	0.024
0.341	0.024
0.341	0.024
0.331	0.025
0.329	0.024
0.329	0.024
0.329	0.024
0.329	0.024
0.322	0.027
0.322	0.027
0.331	0.025
0.331	0.025
0.331	0.025
0.331	0.025
0.331	0.025
0.332	0.025
0.332	0.025
0.32	0.026
0.324	0.026
0.324	0.026
0.327	0.026
0.327	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.323	0.026
0.323	0.026
0.323	0.026
0.331	0.025
0.335	0.024
0.335	0.024
0.32	0.027
0.32	0.027
0.335	0.025
0.335	0.025
0.328	0.026
0.318	0.027
0.325	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.334	0.025
0.334	0.024
0.33	0.024
0.33	0.024
0.33	0.024
0.327	0.026
0.327	0.026
0.327	0.026
0.327	0.026
0.334	0.025
0.334	0.025
0.334	0.025
0.334	0.025
0.334	0.025
0.327	0.025
0.335	0.025
0.335	0.025
0.335	0.025
0.335	0.025
0.32	0.026
0.32	0.026
0.33	0.025
0.328	0.025
0.325	0.026
0.325	0.026
0.341	0.024
0.324	0.025
0.326	0.025
0.326	0.025
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.326	0.025
0.327	0.025
0.327	0.025
0.329	0.026
0.329	0.026
0.329	0.026
0.329	0.026
0.329	0.026
0.327	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.336	0.024
0.336	0.024
0.33	0.025
0.33	0.025
0.33	0.025
0.337	0.024
0.34	0.024
0.34	0.024
0.34	0.024
0.34	0.024
0.34	0.024
0.331	0.025
0.331	0.025
0.331	0.025
0.331	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.331	0.025
0.331	0.025
0.325	0.025
0.325	0.025
0.331	0.025
0.331	0.025
0.331	0.025
0.314	0.027
0.314	0.027
0.314	0.027
0.321	0.025
0.321	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.336	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.325	0.026
0.325	0.026
0.325	0.026
0.325	0.026
0.329	0.026
0.333	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.331	0.025
0.331	0.025
0.327	0.025
0.323	0.026
0.323	0.026
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.319	0.026
0.33	0.026
0.338	0.025
0.338	0.025
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.328	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.322	0.026
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.336	0.024
0.32	0.026
0.32	0.026
0.331	0.025
0.331	0.025
0.336	0.024
0.336	0.024
0.344	0.024
0.344	0.024
0.344	0.024
0.344	0.024
0.344	0.024
0.327	0.024
0.327	0.024
0.327	0.024
0.327	0.024
0.327	0.024
0.319	0.026
0.319	0.026
0.319	0.026
0.319	0.026
0.326	0.026
0.33	0.025
0.322	0.026
0.322	0.026
0.331	0.025
0.326	0.025
0.326	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.323	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.334	0.025
0.334	0.025
0.334	0.025
0.334	0.025
0.322	0.026
0.322	0.026
0.322	0.026
0.322	0.026
0.317	0.026
0.317	0.026
0.33	0.025
0.33	0.025
0.33	0.025
0.338	0.024
0.336	0.025
0.336	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.333	0.024
0.333	0.024
0.324	0.025
0.324	0.025
0.33	0.024
0.33	0.026
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.025
0.334	0.025
0.334	0.025
0.334	0.025
0.334	0.025
0.323	0.026
0.323	0.026
0.323	0.026
0.325	0.026
0.325	0.026
0.325	0.026
0.325	0.026
0.325	0.026
0.325	0.026
0.331	0.025
0.331	0.025
0.331	0.025
0.328	0.025
0.338	0.025
0.33	0.025
0.33	0.025
0.32	0.026
0.32	0.026
0.32	0.026
0.32	0.026
0.32	0.026
0.32	0.026
0.32	0.026
0.338	0.024
0.338	0.024
0.338	0.024
0.338	0.024
0.336	0.025
0.336	0.025
0.336	0.025
0.336	0.025
0.336	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.337	0.025
0.337	0.025
0.337	0.025
0.337	0.025
0.337	0.025
0.337	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.324	0.026
0.333	0.024
0.333	0.024
0.322	0.026
0.333	0.025
0.333	0.025
0.334	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.324	0.026
0.321	0.025
0.321	0.025
0.321	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.328	0.025
0.327	0.025
0.327	0.025
0.324	0.025
0.328	0.025
0.328	0.025
0.331	0.025
0.331	0.025
0.331	0.025
0.332	0.025
0.328	0.026
0.332	0.025
0.332	0.025
0.325	0.026
0.321	0.026
0.321	0.026
0.33	0.025
0.334	0.024
0.334	0.024
0.334	0.024
0.329	0.025
0.325	0.025
0.328	0.026
0.328	0.026
0.328	0.026
0.328	0.026
0.328	0.026
0.328	0.026
0.328	0.026
0.328	0.026
0.328	0.026
0.328	0.026
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.33	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.326	0.026
0.326	0.026
0.326	0.026
0.326	0.026
0.321	0.026
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.331	0.025
0.331	0.025
0.323	0.025
0.323	0.025
0.323	0.025
0.323	0.025
0.323	0.025
0.323	0.025
0.323	0.025
0.323	0.025
0.323	0.025
0.323	0.025
0.323	0.025
0.323	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.327	0.026
0.329	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.327	0.026
0.327	0.026
0.327	0.026
0.322	0.026
0.322	0.026
0.322	0.026
0.316	0.026
0.328	0.025
0.328	0.025
0.335	0.025
0.335	0.025
0.335	0.025
0.329	0.025
0.339	0.024
0.324	0.026
0.324	0.026
0.323	0.026
0.321	0.025
0.321	0.025
0.321	0.025
0.321	0.025
0.321	0.025
0.321	0.025
0.321	0.025
0.323	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.334	0.024
0.322	0.026
0.322	0.026
0.322	0.026
0.322	0.026
0.339	0.024
0.339	0.024
0.339	0.024
0.329	0.025
0.322	0.026
0.322	0.026
0.322	0.026
0.322	0.026
0.331	0.025
0.325	0.025
0.325	0.025
0.324	0.025
0.324	0.025
0.333	0.025
0.332	0.025
0.332	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.331	0.025
0.334	0.025
0.334	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.322	0.026
0.345	0.023
0.338	0.024
0.33	0.025
0.33	0.025
0.331	0.025
0.33	0.024
0.33	0.024
0.33	0.024
0.33	0.024
0.331	0.025
0.331	0.025
0.331	0.025
0.331	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.33	0.025
0.33	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.337	0.024
0.337	0.024
0.337	0.024
0.325	0.025
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.328	0.026
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.346	0.023
0.346	0.023
0.338	0.024
0.338	0.024
0.338	0.024
0.324	0.026
0.331	0.025
0.331	0.025
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.333	0.025
0.333	0.025
0.333	0.025
0.339	0.025
0.339	0.025
0.339	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.33	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.334	0.025
0.323	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.33	0.025
0.339	0.024
0.339	0.024
0.339	0.024
0.34	0.024
0.34	0.024
0.34	0.024
0.327	0.025
0.334	0.024
0.334	0.024
0.338	0.024
0.338	0.024
0.325	0.026
0.338	0.025
0.324	0.026
0.324	0.026
0.333	0.024
0.333	0.024
0.333	0.024
0.333	0.024
0.337	0.024
0.334	0.025
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.325	0.025
0.333	0.025
0.327	0.025
0.327	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.334	0.024
0.334	0.024
0.331	0.025
0.331	0.025
0.331	0.025
0.331	0.025
0.331	0.025
0.332	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.331	0.024
0.331	0.024
0.331	0.024
0.318	0.026
0.326	0.026
0.326	0.026
0.326	0.026
0.329	0.025
0.329	0.025
0.32	0.026
0.32	0.026
0.32	0.026
0.335	0.024
0.335	0.024
0.335	0.024
0.335	0.024
0.335	0.024
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.331	0.024
0.331	0.024
0.331	0.024
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.321	0.026
0.327	0.026
0.327	0.026
0.338	0.024
0.326	0.026
0.326	0.026
0.323	0.026
0.323	0.026
0.338	0.024
0.338	0.024
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.327	0.025
0.325	0.026
0.325	0.026
0.325	0.026
0.325	0.026
0.325	0.026
0.325	0.025
0.325	0.025
0.325	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.323	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.34	0.024
0.335	0.025
0.335	0.025
0.335	0.025
0.335	0.025
0.335	0.025
0.335	0.025
0.323	0.025
0.323	0.025
0.332	0.025
0.332	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.338	0.024
0.338	0.024
0.338	0.024
0.338	0.024
0.325	0.026
0.325	0.026
0.325	0.026
0.325	0.026
0.325	0.026
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.334	0.024
0.333	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.331	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.33	0.025
0.34	0.024
0.34	0.024
0.34	0.024
0.34	0.024
0.339	0.024
0.339	0.024
0.339	0.024
0.339	0.024
0.339	0.024
0.327	0.025
0.322	0.026
0.322	0.026
0.339	0.023
0.325	0.025
0.334	0.024
0.334	0.024
0.334	0.024
0.335	0.024
0.335	0.024
0.335	0.024
0.328	0.025
0.328	0.025
0.332	0.025
0.332	0.025
0.322	0.026
0.322	0.026
0.322	0.026
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.318	0.026
0.318	0.026
0.329	0.025
0.329	0.025
0.329	0.025
0.32	0.026
0.32	0.026
0.32	0.026
0.32	0.026
0.326	0.025
0.326	0.025
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.326	0.026
0.338	0.023
0.335	0.025
0.335	0.025
0.335	0.025
0.335	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.328	0.025
0.337	0.024
0.337	0.024
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.026
0.326	0.026
0.326	0.026
0.326	0.026
0.34	0.024
0.334	0.025
0.334	0.025
0.334	0.025
0.334	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.338	0.024
0.338	0.024
0.338	0.024
0.338	0.024
0.338	0.024
0.338	0.024
0.33	0.025
0.336	0.024
0.336	0.024
0.327	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.324	0.025
0.324	0.025
0.324	0.025
0.324	0.025
0.33	0.025
0.333	0.025
0.328	0.025
0.322	0.026
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.322	0.025
0.322	0.025
0.322	0.025
0.322	0.025
0.326	0.026
0.319	0.026
0.319	0.026
0.331	0.025
0.331	0.025
0.322	0.026
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.333	0.025
0.333	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.322	0.026
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.322	0.025
0.322	0.025
0.327	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.326	0.025
0.323	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.328	0.025
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.325	0.025
0.325	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.34	0.024
0.327	0.025
0.327	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.333	0.025
0.33	0.026
0.33	0.026
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.32	0.026
0.32	0.026
0.32	0.026
0.336	0.024
0.326	0.025
0.332	0.024
0.335	0.025
0.335	0.025
0.335	0.025
0.334	0.025
0.322	0.026
0.322	0.026
0.322	0.026
0.322	0.026
0.322	0.026
0.332	0.025
0.334	0.024
0.334	0.024
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.327	0.026
0.327	0.026
0.327	0.026
0.339	0.024
0.339	0.024
0.33	0.025
0.33	0.025
0.333	0.024
0.333	0.024
0.333	0.024
0.333	0.024
0.333	0.024
0.333	0.024
0.322	0.026
0.322	0.026
0.322	0.026
0.322	0.026
0.322	0.026
0.325	0.026
0.325	0.026
0.325	0.025
0.336	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.325	0.026
0.333	0.024
0.333	0.024
0.333	0.024
0.333	0.024
0.333	0.024
0.333	0.024
0.333	0.024
0.332	0.024
0.332	0.024
0.326	0.025
0.326	0.025
0.331	0.025
0.331	0.025
0.331	0.025
0.338	0.024
0.338	0.024
0.338	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.327	0.025
0.327	0.025
0.327	0.025
0.334	0.024
0.329	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.32	0.026
0.32	0.026
0.326	0.025
0.333	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.333	0.025
0.323	0.026
0.336	0.025
0.336	0.025
0.336	0.025
0.336	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.332	0.025
0.335	0.024
0.339	0.024
0.339	0.024
0.339	0.024
0.339	0.024
0.326	0.025
0.326	0.025
0.326	0.025
0.331	0.024
0.331	0.024
0.331	0.024
0.331	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.319	0.026
0.319	0.026
0.319	0.026
0.319	0.026
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.334	0.024
0.331	0.025
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.331	0.025
0.331	0.025
0.331	0.025
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.334	0.024
0.335	0.024
0.326	0.026
0.326	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.332	0.025
0.332	0.025
0.332	0.025
0.333	0.024
0.329	0.025
0.329	0.025
0.328	0.025
0.328	0.025
0.327	0.026
0.327	0.026
0.327	0.026
0.329	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.323	0.026
0.323	0.026
0.324	0.025
0.325	0.026
0.328	0.025
0.328	0.025
0.328	0.025
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.324	0.026
0.324	0.026
0.324	0.026
0.324	0.026
0.324	0.026
0.324	0.026
0.327	0.026
0.327	0.026
0.32	0.026
0.32	0.026
0.324	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.323	0.026
0.335	0.025
0.335	0.025
0.335	0.025
0.328	0.025
0.322	0.025
0.334	0.025
0.334	0.025
0.334	0.025
0.334	0.025
0.334	0.025
0.334	0.025
0.324	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.334	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.325	0.026
0.325	0.026
0.325	0.026
0.337	0.025
0.337	0.025
0.324	0.026
0.324	0.026
0.322	0.025
0.322	0.025
0.328	0.026
0.328	0.026
0.328	0.026
0.328	0.026
0.336	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.333	0.025
0.324	0.025
0.324	0.025
0.324	0.025
0.323	0.026
0.323	0.026
0.337	0.024
0.337	0.024
0.324	0.026
0.324	0.026
0.327	0.026
0.327	0.026
0.327	0.026
0.333	0.024
0.333	0.024
0.333	0.024
0.333	0.024
0.329	0.026
0.329	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.323	0.026
0.329	0.026
0.332	0.025
0.332	0.025
0.322	0.026
0.322	0.026
0.327	0.025
0.323	0.025
0.323	0.025
0.323	0.025
0.323	0.025
0.33	0.025
0.33	0.025
0.327	0.025
0.333	0.024
0.329	0.025
0.323	0.026
0.326	0.026
0.326	0.026
0.326	0.026
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.325	0.026
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.327	0.025
0.325	0.026
0.325	0.026
0.335	0.024
0.335	0.024
0.335	0.024
0.335	0.024
0.335	0.024
0.335	0.024
0.335	0.024
0.335	0.024
0.338	0.024
0.338	0.024
0.338	0.024
0.338	0.024
0.338	0.024
0.338	0.024
0.338	0.024
0.324	0.025
0.324	0.025
0.324	0.025
0.324	0.025
0.324	0.025
0.324	0.025
0.324	0.025
0.326	0.026
0.326	0.026
0.329	0.025
0.32	0.026
0.32	0.026
0.32	0.026
0.32	0.026
0.32	0.026
0.322	0.026
0.32	0.026
0.32	0.026
0.32	0.026
0.32	0.026
0.326	0.025
0.326	0.025
0.325	0.025
0.326	0.025
0.325	0.025
0.331	0.025
0.331	0.025
0.331	0.025
0.331	0.025
0.331	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.325	0.025
0.329	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.332	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.332	0.025
0.33	0.025
0.335	0.024
0.335	0.024
0.335	0.024
0.335	0.024
0.335	0.024
0.335	0.024
0.329	0.025
0.33	0.025
0.338	0.024
0.338	0.024
0.338	0.024
0.338	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.334	0.024
0.334	0.024
0.326	0.026
0.336	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.324	0.025
0.327	0.025
0.327	0.025
0.335	0.024
0.335	0.024
0.335	0.024
0.335	0.024
0.335	0.024
0.328	0.025
0.328	0.025
0.328	0.025
0.336	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.341	0.024
0.341	0.024
0.341	0.024
0.341	0.024
0.341	0.024
0.341	0.024
0.341	0.024
0.341	0.024
0.328	0.025
0.34	0.024
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.326	0.025
0.343	0.023
0.347	0.023
0.338	0.024
0.314	0.027
0.314	0.027
0.314	0.027
0.314	0.027
0.314	0.027
0.323	0.026
0.323	0.026
0.318	0.026
0.329	0.025
0.329	0.025
0.329	0.025
0.329	0.025
0.336	0.024
0.336	0.024
0.336	0.024
0.336	0.024
0.322	0.026
0.335	0.024
0.331	0.024
0.331	0.024
0.331	0.024
0.331	0.024
0.331	0.024
0.337	0.024
0.337	0.024
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.325	0.025
0.33	0.024
0.33	0.024
0.326	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.326	0.026
0.32	0.026
0.32	0.026
0.32	0.026
0.328	0.026
0.328	0.026
0.325	0.026
0.323	0.025
0.323	0.025
0.33	0.024
0.328	0.025
0.328	0.025
0.328	0.025
0.32	0.026
0.32	0.026
0.32	0.026
0.326	0.025
0.319	0.027
0.315	0.026
0.331	0.025
0.331	0.025
0.332	0.025
0.332	0.025
0.333	0.024
0.333	0.024
0.333	0.024
0.317	0.026
0.317	0.026
0.317	0.026
0.335	0.024
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.339	0.024
0.339	0.024
0.339	0.024
0.339	0.024
0.339	0.024
0.339	0.024
0.339	0.024
0.332	0.024
0.324	0.026
0.324	0.026
0.324	0.026
0.324	0.026
0.324	0.026
0.324	0.026
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.337	0.024
0.325	0.025
0.325	0.025
0.33	0.025
0.334	0.025
0.327	0.025
0.333	0.024
0.333	0.024
0.33	0.025
0.33	0.025
0.33	0.025
0.331	0.025
0.331	0.025
0.331	0.025
0.331	0.025
0.331	0.025
0.319	0.026
0.328	0.026
0.327	0.026
0.32	0.026
0.32	0.026
0.327	0.025
0.327	0.025
0.329	0.025
0.338	0.024
0.338	0.024
0.329	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.328	0.025
0.327	0.026
0.324	0.026
0.324	0.026
0.324	0.025
0.334	0.024
0.329	0.025
0.333	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.334	0.024
0.323	0.026
0.323	0.026
0.33	0.026
0.33	0.026
0.33	0.026
0.325	0.025
0.334	0.024
0.325	0.026
0.335	0.024
0.334	0.025
0.334	0.025
0.334	0.025
0.334	0.025
0.325	0.025
0.333	0.025
0.333	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.335	0.025
0.335	0.025
0.328	0.024
0.328	0.024
0.328	0.024
0.328	0.024
0.328	0.024
0.328	0.024
0.328	0.024
0.328	0.024
0.328	0.024
0.328	0.024
0.328	0.024
0.328	0.024
0.328	0.024
0.328	0.024
0.328	0.024
0.328	0.024
0.328	0.024
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.332	0.025
0.334	0.025
0.334	0.025
0.334	0.025
0.328	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.33	0.025
0.322	0.026
0.322	0.026
0.33	0.026
0.33	0.026
0.33	0.026
0.33	0.026
0.33	0.026
0.33	0.026
0.33	0.026
0.329	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.332	0.024
0.327	0.025
0.327	0.025
0.336	0.025
0.324	0.026
0.324	0.026
0.324	0.026
0.324	0.026
0.325	0.026
0.344	0.023
0.344	0.023
0.338	0.024
0.338	0.024
